1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Denver,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Utah
12:00.0,Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession)
7:41.0,N. JokiÄ makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),+2,34-53,,
7:25.0,,,34-53,,M. Conley misses 3-pt jump shot from 25 ft
7:22.0,Defensive rebound by M. Porter,,34-53,,
7:18.0,M. Porter makes 2-pt jump shot from 14 ft,+2,36-53,,
6:55.0,,,36-53,,T. Horton-Tucker misses 2-pt layup from 2 ft
6:53.0,,,36-53,,Offensive rebound by J. Vanderbilt
6:52.0,,,36-53,,K. Olynyk misses 3-pt jump shot from 26 ft
6:52.0,,,36-53,,Offensive rebound by J. Vanderbilt
6:49.0,,,36-53,,Shooting foul by I. Smith (drawn by J. Vanderbilt)
6:49.0,,,36-54,+1,J. Vanderbilt makes free throw 1 of 2
6:49.0,,,36-54,,J. Clarkson enters the game for M. Beasley
6:49.0,,,36-54,,L. Markkanen enters the game for T. Horton-Tucker
6:49.0,,,36-54,,J. Vanderbilt misses free throw 2 of 2
6:48.0,Defensive rebound by A. Gordon,,36-54,,
6:34.0,A. Gordon misses 2-pt jump shot from 17 ft,,36-54,,
6:31.0,,,36-54,,Defensive rebound by J. Vanderbilt
6:22.0,,,36-54,,Offensive foul by J. Vanderbilt (drawn by I. Smith)
6:22.0,,,36-54,,Turnover by J. Vanderbilt (offensive foul)
6:22.0,,,36-54,,W. Kessler enters the game for J. Vanderbilt
6:12.0,Personal foul by K. Olynyk (drawn by N. JokiÄ),,36-54,,
6:01.0,Turnover by M. Porter (traveling),,36-54,,
5:49.0,,,36-57,+3,L. Markkanen makes 3-pt jump shot from 25 ft (assist by M. Conley)
5:37.0,N. JokiÄ makes 2-pt dunk from 2 ft (assist by A. Gordon),+2,38-57,,
5:26.0,,,38-57,,Turnover by J. Clarkson (step out of bounds)
5:26.0,,,38-57,,R. Gay enters the game for M. Conley
5:26.0,,,38-57,,C. Sexton enters the game for K. Olynyk
5:12.0,M. Porter misses 2-pt jump shot from 17 ft,,38-57,,
5:09.0,Offensive rebound by N. JokiÄ,,38-57,,
5:08.0,N. JokiÄ makes 2-pt hook shot from 3 ft,+2,40-57,,
4:52.0,,,40-57,,Personal foul by I. Smith (drawn by C. Sexton)
4:52.0,J. Murray enters the game for I. Smith,,40-57,,
4:50.0,,,40-57,,Personal foul by N. JokiÄ (drawn by W. Kessler)
4:50.0,,,40-57,,W. Kessler misses free throw 1 of 2
4:50.0,,,40-57,,Offensive rebound by Team
4:50.0,,,40-58,+1,W. Kessler makes free throw 2 of 2
4:38.0,Turnover by K. Caldwell-Pope (bad pass; steal by L. Markkanen),,40-58,,
4:34.0,,,40-60,+2,C. Sexton makes 2-pt layup from 2 ft (assist by J. Clarkson)
4:15.0,N. JokiÄ misses 2-pt jump shot from 11 ft,,40-60,,
4:14.0,,,40-60,,Defensive rebound by W. Kessler
4:02.0,,,40-60,,Turnover by C. Sexton (step out of bounds)
4:00.0,Shooting foul by R. Gay (drawn by A. Gordon),,40-60,,
4:00.0,A. Gordon makes free throw 1 of 2,+1,41-60,,
4:00.0,A. Gordon makes free throw 2 of 2,+1,42-60,,
3:46.0,,,42-63,+3,R. Gay makes 3-pt jump shot from 24 ft (assist by J. Clarkson)
3:35.0,A. Gordon makes 2-pt layup from 2 ft,+2,44-63,,
3:18.0,,,44-63,,Turnover by J. Clarkson (lost ball; steal by K. Caldwell-Pope)
3:14.0,Turnover by J. Murray (bad pass; steal by L. Markkanen),,44-63,,
3:07.0,,,44-65,+2,W. Kessler makes 2-pt hook shot from 4 ft (assist by C. Sexton)
3:01.0,A. Gordon misses 2-pt layup from 2 ft,,44-65,,
2:59.0,,,44-65,,Defensive rebound by J. Clarkson
2:54.0,,,44-68,+3,C. Sexton makes 3-pt jump shot from 23 ft (assist by L. Markkanen)
2:53.0,Denver full timeout,,44-68,,
2:36.0,Personal foul by L. Markkanen (drawn by N. JokiÄ),,44-68,,
2:28.0,A. Gordon makes 2-pt dunk from 2 ft (assist by N. JokiÄ),+2,46-68,,
2:17.0,,,46-68,,Offensive foul by W. Kessler (drawn by K. Caldwell-Pope)
2:17.0,,,46-68,,Turnover by W. Kessler (offensive foul)
2:01.0,A. Gordon makes 2-pt dunk from 3 ft (assist by N. JokiÄ),+2,48-68,,
1:44.0,,,48-68,,Shooting foul by N. JokiÄ (drawn by J. Clarkson)
1:44.0,Denver full timeout,,48-68,,
1:44.0,Instant Replay (Challenge: Ruling Stands),,48-68,,
1:44.0,,,48-69,+1,J. Clarkson makes free throw 1 of 2
1:44.0,D. Jordan enters the game for N. JokiÄ,,48-69,,
1:44.0,,,48-69,,M. Conley enters the game for C. Sexton
1:44.0,,,48-69,,J. Clarkson misses free throw 2 of 2
1:43.0,Defensive rebound by M. Porter,,48-69,,
1:32.0,J. Murray misses 2-pt jump shot from 14 ft,,48-69,,
1:28.0,,,48-69,,Defensive rebound by W. Kessler
1:19.0,,,48-69,,Turnover by J. Clarkson (lost ball; steal by K. Caldwell-Pope)
1:13.0,M. Porter makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),+2,50-69,,
0:54.0,,,50-72,+3,L. Markkanen makes 3-pt jump shot from 24 ft (assist by J. Clarkson)
0:31.0,J. Murray makes 3-pt jump shot from 23 ft,+3,53-72,,
0:13.0,,,53-74,+2,M. Conley makes 2-pt layup from 4 ft
0:13.0,,,53-74,,Shooting foul by D. Jordan (drawn by M. Conley)
0:13.0,,,53-74,,M. Beasley enters the game for L. Markkanen
0:13.0,,,53-75,+1,M. Conley makes free throw 1 of 1
0:01.0,J. Murray misses 2-pt jump shot from 16 ft,,53-75,,
0:01.0,,,53-75,,Defensive rebound by W. Kessler
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Denver,,Score,,Utah
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:43.0,Def 3 sec tech foul by Team,,53-75,,
11:43.0,J. Murray makes technical free throw,+1,54-75,,
11:31.0,N. JokiÄ makes 2-pt layup from 3 ft,+2,56-75,,
11:13.0,,,56-75,,Turnover by J. Clarkson (bad pass; steal by N. JokiÄ)
11:10.0,Shooting foul by K. Olynyk (drawn by K. Caldwell-Pope),,56-75,,
11:10.0,K. Caldwell-Pope makes free throw 1 of 2,+1,57-75,,
11:10.0,,,57-75,,R. Gay enters the game for K. Olynyk
11:10.0,K. Caldwell-Pope makes free throw 2 of 2,+1,58-75,,
10:59.0,,,58-75,,R. Gay misses 3-pt jump shot from 23 ft
10:56.0,Defensive rebound by M. Porter,,58-75,,
10:48.0,N. JokiÄ makes 2-pt hook shot from 7 ft (assist by K. Caldwell-Pope),+2,60-75,,
10:23.0,,,60-75,,J. Vanderbilt misses 2-pt layup from 2 ft
10:21.0,Defensive rebound by M. Porter,,60-75,,
10:09.0,Jump ball: R. Gay vs. N. JokiÄ (J. Vanderbilt gains possession),Jump ball: R. Gay vs. N. JokiÄ (J. Vanderbilt gains possession),Jump ball: R. Gay vs. N. JokiÄ (J. Vanderbilt gains possession),Jump ball: R. Gay vs. N. JokiÄ (J. Vanderbilt gains possession),Jump ball: R. Gay vs. N. JokiÄ (J. Vanderbilt gains possession)
10:09.0,Turnover by N. JokiÄ (lost ball; steal by R. Gay),,60-75,,
10:00.0,,,60-78,+3,R. Gay makes 3-pt jump shot from 23 ft (assist by J. Clarkson)
9:42.0,A. Gordon makes 2-pt dunk from 3 ft (assist by N. JokiÄ),+2,62-78,,
9:36.0,,,62-78,,Offensive foul by J. Vanderbilt (drawn by J. Murray)
9:36.0,,,62-78,,Turnover by J. Vanderbilt (offensive foul)
9:21.0,Personal foul by J. Vanderbilt (drawn by N. JokiÄ),,62-78,,
9:21.0,,,62-78,,W. Kessler enters the game for J. Vanderbilt
9:12.0,J. Murray misses 2-pt layup from 6 ft,,62-78,,
9:10.0,Offensive rebound by J. Murray,,62-78,,
9:01.0,Turnover by M. Porter (bad pass; steal by W. Kessler),,62-78,,
8:41.0,,,62-80,+2,W. Kessler makes 2-pt layup from 2 ft (assist by J. Clarkson)
8:20.0,N. JokiÄ misses 3-pt jump shot from 23 ft,,62-80,,
8:17.0,Offensive rebound by A. Gordon,,62-80,,
8:14.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,62-80,,
8:10.0,Offensive rebound by M. Porter,,62-80,,
8:10.0,M. Porter misses 2-pt layup at rim,,62-80,,
8:10.0,,,62-80,,Defensive rebound by Team
8:06.0,Jump ball: W. Kessler vs. M. Porter (R. Gay gains possession),Jump ball: W. Kessler vs. M. Porter (R. Gay gains possession),Jump ball: W. Kessler vs. M. Porter (R. Gay gains possession),Jump ball: W. Kessler vs. M. Porter (R. Gay gains possession),Jump ball: W. Kessler vs. M. Porter (R. Gay gains possession)
7:46.0,,,62-80,,L. Markkanen misses 3-pt jump shot from 27 ft
7:42.0,Defensive rebound by A. Gordon,,62-80,,
7:40.0,Turnover by A. Gordon (traveling),,62-80,,
7:22.0,,,62-80,,Personal foul by M. Porter (drawn by J. Clarkson)
7:13.0,,,62-80,,Turnover by M. Conley (bad pass; steal by J. Murray)
7:10.0,M. Porter makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),+3,65-80,,
7:09.0,,,65-80,,Utah full timeout
7:09.0,,,65-80,,C. Sexton enters the game for M. Conley
6:58.0,,,65-80,,L. Markkanen misses 3-pt jump shot from 26 ft
6:55.0,Defensive rebound by K. Caldwell-Pope,,65-80,,
6:46.0,J. Murray misses 2-pt jump shot from 13 ft,,65-80,,
6:44.0,,,65-80,,Defensive rebound by J. Clarkson
6:39.0,,,65-80,,Shooting foul by M. Porter (drawn by W. Kessler)
6:39.0,,,65-80,,W. Kessler misses free throw 1 of 2
6:39.0,,,65-80,,Offensive rebound by Team
6:39.0,B. Brown enters the game for J. Murray,,65-80,,
6:39.0,,,65-81,+1,W. Kessler makes free throw 2 of 2
6:26.0,N. JokiÄ misses 3-pt jump shot from 26 ft,,65-81,,
6:22.0,Offensive rebound by M. Porter,,65-81,,
6:12.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,65-81,,
6:09.0,,,65-81,,Defensive rebound by L. Markkanen
6:00.0,,,65-81,,R. Gay misses 3-pt jump shot from 24 ft
5:59.0,,,65-81,,Offensive rebound by Team
5:56.0,,,65-81,,Shooting foul by M. Porter (drawn by W. Kessler)
5:56.0,,,65-81,,W. Kessler misses free throw 1 of 2
5:56.0,,,65-81,,Offensive rebound by Team
5:56.0,,,65-81,,W. Kessler misses free throw 2 of 2
5:55.0,Defensive rebound by A. Gordon,,65-81,,
5:43.0,N. JokiÄ makes 2-pt layup from 7 ft (assist by M. Porter),+2,67-81,,
5:25.0,,,67-81,,C. Sexton misses 2-pt jump shot from 11 ft
5:24.0,,,67-81,,Offensive rebound by C. Sexton
5:21.0,,,67-81,,C. Sexton misses 2-pt jump shot from 5 ft
5:19.0,Defensive rebound by M. Porter,,67-81,,
5:15.0,Shooting foul by L. Markkanen (drawn by M. Porter),,67-81,,
5:15.0,M. Porter makes free throw 1 of 2,+1,68-81,,
5:15.0,B. Hyland enters the game for K. Caldwell-Pope,,68-81,,
5:15.0,M. Porter makes free throw 2 of 2,+1,69-81,,
4:53.0,,,69-81,,Turnover by J. Clarkson (bad pass)
4:44.0,B. Hyland misses 2-pt layup from 5 ft,,69-81,,
4:41.0,Offensive rebound by N. JokiÄ,,69-81,,
4:41.0,N. JokiÄ makes 2-pt layup at rim,+2,71-81,,
4:17.0,,,71-83,+2,W. Kessler makes 2-pt layup from 2 ft (assist by R. Gay)
4:05.0,Personal foul by C. Sexton (drawn by N. JokiÄ),,71-83,,
4:05.0,J. Green enters the game for A. Gordon,,71-83,,
4:05.0,,,71-83,,M. Beasley enters the game for J. Clarkson
3:55.0,B. Hyland misses 3-pt jump shot from 26 ft,,71-83,,
3:52.0,,,71-83,,Defensive rebound by W. Kessler
3:47.0,,,71-83,,Shooting foul by B. Hyland (drawn by C. Sexton)
3:47.0,,,71-84,+1,C. Sexton makes free throw 1 of 2
3:47.0,,,71-84,,T. Horton-Tucker enters the game for R. Gay
3:47.0,,,71-85,+1,C. Sexton makes free throw 2 of 2
3:36.0,N. JokiÄ makes 3-pt jump shot from 26 ft (assist by B. Hyland),+3,74-85,,
3:07.0,,,74-87,+2,L. Markkanen makes 2-pt jump shot from 12 ft
2:57.0,B. Hyland misses 3-pt jump shot from 27 ft,,74-87,,
2:55.0,,,74-87,,Defensive rebound by L. Markkanen
2:49.0,,,74-87,,M. Beasley misses 3-pt jump shot from 25 ft
2:46.0,Defensive rebound by B. Brown,,74-87,,
2:30.0,Turnover by J. Green (bad pass),,74-87,,
2:30.0,Denver full timeout,,74-87,,
2:30.0,K. Caldwell-Pope enters the game for N. JokiÄ,,74-87,,
2:30.0,D. Reed enters the game for M. Porter,,74-87,,
2:17.0,,,74-87,,T. Horton-Tucker misses 2-pt jump shot from 7 ft
2:13.0,Defensive rebound by K. Caldwell-Pope,,74-87,,
2:03.0,B. Brown makes 2-pt jump shot from 14 ft,+2,76-87,,
2:03.0,,,76-87,,M. Conley enters the game for L. Markkanen
1:41.0,,,76-89,+2,C. Sexton makes 2-pt layup from 2 ft (assist by M. Conley)
1:22.0,B. Hyland misses 2-pt layup from 1 ft,,76-89,,
1:20.0,,,76-89,,Defensive rebound by W. Kessler
1:05.0,,,76-92,+3,M. Beasley makes 3-pt jump shot from 23 ft (assist by M. Conley)
0:43.0,B. Brown misses 3-pt jump shot from 24 ft,,76-92,,
0:39.0,Offensive rebound by J. Green,,76-92,,
0:29.0,Shooting foul by W. Kessler (drawn by J. Green),,76-92,,
0:29.0,J. Green makes free throw 1 of 2,+1,77-92,,
0:29.0,C. Braun enters the game for B. Hyland,,77-92,,
0:29.0,J. Green makes free throw 2 of 2,+1,78-92,,
0:11.0,,,78-92,,Shooting foul by C. Braun (drawn by C. Sexton)
0:11.0,,,78-93,+1,C. Sexton makes free throw 1 of 2
0:11.0,B. Hyland enters the game for C. Braun,,78-93,,
0:11.0,M. Porter enters the game for D. Reed,,78-93,,
0:11.0,,,78-94,+1,C. Sexton makes free throw 2 of 2
0:01.0,B. Hyland makes 2-pt layup from 6 ft,+2,80-94,,
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Denver,,Score,,Utah
