1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Orlando,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession)
2:30.0,,,48-46,+2,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young)
2:08.0,T. Ross makes 3-pt jump shot from 25 ft (assist by F. Wagner),+3,51-46,,
1:53.0,,,51-46,,T. Young misses 2-pt jump shot from 12 ft
1:50.0,,,51-46,,Offensive rebound by T. Young
1:46.0,,,51-46,,J. Collins misses 3-pt jump shot from 23 ft
1:43.0,Defensive rebound by W. Carter,,51-46,,
1:32.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by T. Ross),+3,54-46,,
1:16.0,,,54-48,+2,J. Collins makes 2-pt layup from 2 ft (assist by T. Young)
1:08.0,W. Carter misses 3-pt jump shot from 25 ft,,54-48,,
1:03.0,,,54-48,,Defensive rebound by C. Capela
1:00.0,,,54-50,+2,D. Murray makes 2-pt layup from 2 ft
0:41.0,C. Anthony misses 3-pt jump shot from 24 ft,,54-50,,
0:38.0,,,54-50,,Defensive rebound by D. Murray
0:34.0,,,54-50,,D. Murray misses 3-pt jump shot from 26 ft
0:29.0,,,54-50,,Offensive rebound by J. Collins
0:28.0,,,54-50,,D. Hunter misses 3-pt jump shot from 27 ft
0:25.0,Defensive rebound by W. Carter,,54-50,,
0:03.0,W. Carter misses 3-pt jump shot from 24 ft,,54-50,,
0:03.0,,,54-50,,Defensive rebound by T. Young
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Orlando,,Score,,Atlanta
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:45.0,,,54-50,,Turnover by T. Young (bad pass; steal by J. Suggs)
11:41.0,Shooting foul by J. Collins (drawn by P. Banchero),,54-50,,
11:41.0,P. Banchero misses free throw 1 of 2,,54-50,,
11:41.0,Offensive rebound by Team,,54-50,,
11:41.0,P. Banchero makes free throw 2 of 2,+1,55-50,,
11:22.0,,,55-50,,D. Hunter misses 2-pt layup from 3 ft
11:16.0,Defensive rebound by J. Suggs,,55-50,,
11:14.0,F. Wagner misses 3-pt jump shot from 23 ft,,55-50,,
11:10.0,,,55-50,,Defensive rebound by D. Murray
11:08.0,,,55-50,,Shooting foul by P. Banchero (drawn by D. Murray)
11:08.0,,,55-51,+1,D. Murray makes free throw 1 of 2
11:08.0,,,55-52,+1,D. Murray makes free throw 2 of 2
10:52.0,Turnover by P. Banchero (lost ball; steal by J. Collins),,55-52,,
10:48.0,,,55-54,+2,J. Collins makes 2-pt dunk at rim
